en,tr,pos,emoji,yuksek_getiri,syn,kaynaklar,cikmis_tekrar,cikmis_donemler,grup,example,exampleTr,tier
"obtain","Edinmek, elde etmek, kazanmak","v","🎁",1,"Get hold of; gain; attain; acquire","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2022-2; 2023-2; 2025-2",5,"Explanation of the general causes of certain phenomena is obtained from experiments.","Bazı olguların genel nedenlerinin izahı deneylerden elde edilmiştir.",1
"plausible","Makul, akla yatkın","adj","🤷",0,"Reasonable; sensible; logical","Modadil 1080; Koç havuzu",0,"",5,"That the carbon molecules in the microbes come from methane is a plausible answer","Mikropların içindeki karbon moleküllerinin metandan geldiği mantıklı bir cevaptır",1
"policy","Politika, hareket tarzı, plan","n","📄",0,"Course of action; strategy; plan","Modadil 1080; Çıkmış sorular",1,"2025-2",5,"A significant policy change in management approaches is needed to prevent or reverse desertification","Çölleşmeyi önlemek veya tersine çevirmek için yönetim yaklaşımlarında önemli bir hareket tarzı değişikliği gerekiyor.",1
"relatively","Nispeten, oranla","adv","⚖️",1,"Comparatively; moderately","Modadil 1080; Çıkmış sorular; Koç havuzu",4,"2021-1; 2022-2; 2023-1; 2023-2",5,"Since Viking Mission, humans have done relatively little to advance the crewed exploration of space","Viking Görevinden bu yana, insanlar mürettebatlı uzay araştırmalarını geliştirmek için nispeten az şey yapmışlardır.",1
"save","Kurtarmak, biriktirmek, korumak","v","💾",0,"Protect; keep; hold","Modadil 1080",0,"",5,"Water recycling is reusing wastewater to save both energy and the environment.","Su geri dönüşümü hem enerjiyi hem de çevreyi korumak için atık suyu yeniden kullanmaktır.",1
"strict","Katı, sıkı, sert","adj","⛓️",0,"Harsh; firm; severe","Modadil 1080",0,"",5,"Strict training methods allow the human body to adapt to space.","Sıkı eğitim yöntemleri, insan vücudunun uzaya uyum sağlamasına olanak sağlar.",1
"assemble","Toplanmak, bir araya getirmek","v","🧩",0,"Bring together; collect; accumulate; amass","Modadil 1080; Koç havuzu",0,"",6,"She assembled archaeologists and other experts to take a closer look at the mysterious structures.","Gizemli yapılara daha yakından bakmak için arkeologları ve diğer uzmanları biraraya getirdi.",1
"available","Mevcut, Elde, ulaşılabilir","adj","🟢",1,"Obtainable; accessible; on hand","Modadil 1080; Çıkmış sorular",4,"2021-1; 2022-2; 2024-2; 2025-1",6,"Scientists are beginning to adopt innovative approaches to convert available energy into chemical fuels.","Bilim adamları, mevcut enerjiyi kimyasal yakıtlara dönüştürmek için yenilikçi yaklaşımlar benimsemeye başlıyorlar.",1
"benefit","Fayda sağlamak, yarar","v","🎉",1,"Take advantage of; advantage; profit","Modadil 1080; Çıkmış sorular; Koç havuzu",5,"2018-1; 2021-1; 2022-1; 2023-2; 2025-1",6,"Certainly, engineers benefit from scientific theory.","Elbette, mühendisler bilimsel teoriden faydalanırlar.",1
"common","Yaygın, bilinen","adj","🔁",1,"Widespread; general; familiar","Modadil 1080; Çıkmış sorular",2,"2021-1; 2023-2",6,"The most common view among scientists is that mathematics and physics are quite different","Bilim insanları arasındaki en yaygın görüş, matematiğin ve fiziğin oldukça farklı olmasıdır.",1
"condition","Koşul, durum","n","🌡️",1,"State; form","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2021-1; 2021-2",6,"Under special conditions, the most powerful electron microscopes can detect individual atoms.","Özel koşullar altında, en güçlü elektron mikroskopları bireysel atomları tespit edebilir.",1
"decrease","Azal(t)mak","v","⬇️",1,"Lower; lessen; reduce; diminish","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2022-2; 2025-1",6,"Humidity decreases as temperatures increase","Sıcaklıklar arttıkça nem azalır.",1
"develop","Geliş(tir)mek, ilerlemek","v","📊",1,"Advance; progress; enhance; improve","Modadil 1080; Çıkmış sorular; Koç havuzu",5,"2022-1; 2024-1; 2024-2; 2025-1; 2025-2",6,"Scientists continue to develop new alloys with special properties.","Bilim adamları, belli özel özellikleri olan yeni alaşımlar geliştirmeye devam ediyor",1
"enormous","Muazzam, kocaman, devasa","adj","🐘",1,"Huge; massive; giant; colossal","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",3,"2018-1; 2021-1; 2021-2",6,"Enormous eruptions of basaltic lava occurred 4.5 billion years ago.","Bazaltik lavın devasa patlamaları 4,5 milyar yıl önce meydana geldi.",1
"focus on","Odaklanmak","phrasal","🎯",1,"Concentrate on; center","Modadil 1080; Modadil Yapılar; Çıkmış sorular; Koç havuzu",2,"2025-1; 2025-2",6,"Architects tend to focus on form rather than function.","Mimarlar işlev yerine şekil üzerine odaklanırlar.",1
"hazardous","Tehlikeli, riskli","adj","☢️",1,"Dangerous; risky; perilous","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2021-1; 2021-2; 2025-1",6,"New bioplastics are less hazardous to our planet and our natural resources.","Yeni biyoplastikler, gezegenimiz ve doğal kaynaklarımız için daha az tehlikeldir.",1
"ignore","İhmal etmek, görmezden gelmek","v","🙈",1,"Pay no attention; overlook; take no account","Modadil 1080; Çıkmış sorular",2,"2018-1; 2022-2",6,"Some people ignore how a device works and only care about its usefulness.","Bazı insanlar bir cihazın nasıl çalıştığını görmezden gelir ve yalnızca onun kullanışlılığına önem verir.",1
"impact","Etki, tesir","n","💥",1,"Influence; effect","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",7,"2021-1; 2021-2; 2022-1; 2023-2; 2024-2; 2025-1; 2025-2",6,"The impacts of Zika in South America are at almost immeasurable level.","Zika'nın Güney Amerika'daki etkileri neredeyse ölçülemez düzeydedir.",1
"lack of","Yoksunluk, eksiklik, olmama","n","🚫",1,"Absence; nonexistence; deficiency; scarcity","Modadil 1080; Çıkmış sorular",2,"2021-2; 2023-2",6,"Lack of standards made scientific communication difficult.","Standartların olmaması bilimsel iletişimi zorlaştırdı",1
"obvious","Açık, aşikar, net","adj","💡",1,"Clear; evident; apparent","Modadil 1080; Çıkmış sorular",2,"2023-2; 2025-1",6,"Climate change is an obvious and pressing concern.","İklim değişikliği aşikar ve acil bir meseledir.",1
"partially","Kısmen, bir dereceye kadar","adv","◐",1,"To some extent; somewhat","Modadil 1080; Çıkmış sorular",2,"2023-2; 2025-2",6,"Some variations may be partially explained by genetics.","Bazı varyasyonlar kısmen genetik ile açıklanabilir.",1
"pollution","Kirlilik","n","🏭",0,"Contamination; toxic waste","Modadil 1080; Koç havuzu",0,"",6,"Sulphur pollution costs China nearly 45 billion dollars each year.","Kükürt kirliliği, Çin'e her yıl yaklaşık 45 milyar dolara mal oluyor.",1
"precipitation","Yağış","n","🌧️",1,"Rainfall","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",3,"2022-1; 2022-2; 2024-2",6,"Cloud seeding is a technique which attempts to make precipitation by dispersing silver iodide particles into clouds.","Bulut tohumlama, gümüş iyodür parçacıklarını bulutlara dağıtırarak yağış elde etmeye çalışan bir tekniktir.",1
"regulate","Düzenlemek, ayarlamak","v","🎛️",1,"Control; adjust; set","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2023-2",6,"Clouds are also very important in regulating the climate.","Bulutlar, iklimin düzenlenmesinde de çok önemlidir.",1
"solely","Sadece, yalnızca","adv","☝️",1,"Exclusively; only; merely; just","Modadil 1080; Çıkmış sorular",1,"2018-1",6,"Scientists' intention was solely to harvest embryonic stem cells.","Bilim adamlarının niyeti sadece embriyonik kök hücreleri elde etmekti.",1
"task","Görev, vazife, iş","n","✔️",1,"Duty; mission; assignment; job","Modadil 1080; Çıkmış sorular",2,"2022-1; 2022-2",6,"Robots will never be much good at household tasks such as pouring coffee.","Robotlar kahve doldurmak gibi ev işlerinde asla iyi olmayacaktır.",1
"adequate","Yeterli, kafi","adj","👌",1,"Sufficient; enough","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2021-1; 2023-1; 2025-1",7,"Spores contain an adequate food supply within their single cell.","Sporlar tek hücrelerinde yeterli besin kaynağı içerirler.",1
"alignment","Hizalama, ayar, sıra","n","📐",0,"Arrangement; position; placement","Modadil 1080",0,"",7,"The beam can nudge atoms out of alignment and alter the material's form.","Işın, atomların hizalamasını bozup malzemenin şeklini değiştirebilir.",1
"attempt","Teşebbüs etmek, çabalamak, çalışmak, girişim","v","🎯",1,"Try to; aspire to; endeavor to; aim to","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",4,"2018-1; 2021-1; 2021-2; 2025-1",7,"Scientists attempt to find ways of making a zero-emission fuel out of the natural gas.","Bilim insanları doğal gazdan sıfır emisyonlu bir yakıt üretmenin yollarını bulmaya çalışıyorlar.",1
"concerned","Kaygılı, endişeli","adj","😟",0,"Worried; afraid; disturbed","Modadil 1080",0,"",7,"Many people are concerned about nuclear weapons and chemical waste.","Pekçok insan nükleer silahlar ve kimyasal atıklardan endişe duyuyor.",1
"consequence","Sonuç, netice","n","⛓️",1,"Result; outcome","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2022-1; 2023-1",7,"Biodiversity is lost as a consequence of habitat destruction.","Yaşam alanlarının tahribatının bir sonucu olarak biyoçeşitlilik kaybolmaktadır.",1
"constructive","Yapıcı, olumlu, yardımcı","adj","🏗️",0,"Positive; helpful; productive; useful","Modadil 1080; Zafer Hoca",0,"",7,"Gamma rays emitted by nuclear materials can be used for constructive purposes.","Nükleer malzemeler tarafından yayılan gama ışınları yapıcı amaçlar için kullanılabilir.",1
"crucial","Çok önemli, mühim","adj","⭐",1,"Vital; critical; essential; fundamental","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2021-1",7,"Preserving genetic variation is crucial for the long-term survival of populations.","Genetik varyasyonun muhafaza edilmesi, nüfusun uzun vadede hayatta kalması için çok önemlidir.",1
"deadly","Öldürücü, yok edici","adj","☠️",1,"Lethal; fatal","Modadil 1080; Çıkmış sorular",1,"2023-1",7,"Earthquakes were much less deadly before the 20th century.","Depremler 20. Yüzyıldan önce çok daha az öldürücü idi.",1
"deteriorate","Kötüleşmek, kötüye gitmek, bozulmak","v","📉",1,"Get worse; worsen; decline","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",1,"2021-2",7,"The absence of gravity causes bones and muscles to deteriorate.","Yerçekiminin olmaması, kemiklerin ve kasların bozulmasına neden olur.",1
"fail","Başaramamak, başarısız olmak","v","❎",1,"Be unsuccessful","Modadil 1080; Çıkmış sorular",1,"2023-1",7,"His calculations failed through his ignorance of radioactivity.","Onun hesaplamaları radyoaktivite bilgisizliğinden başarısız oldu.",1
"flourish","İlerlemek, gelişmek","v","🌸",1,"Thrive; grow; increase; prosper","Modadil 1080; Çıkmış sorular",4,"2021-1; 2021-2; 2023-2; 2025-2",7,"Cancer cells typically flourish by disabling DNA repair.","Kanser hücreleri tipik olarak DNA onarımını devre dışı bırakakarak gelişirler.",1
"give rise to","Sebep olmak, yol açmak","phrasal","➡️",0,"cause; bring about; lead to","Modadil 1080; Modadil Yapılar; Zafer Hoca; Koç havuzu",0,"",7,"Higher sea-surface temperatures could give rise to more frequent hurricanes.","Daha yüksek deniz yüzeyi sıcaklıkları, daha sık kasırgalara sebep olabilir.",1
"promote","Teşvik etmek, ilerletmek","v","📣",1,"Encourage; advance; further; raise","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2025-1; 2025-2",7,"More moisture also promotes the growth of vegetation.","Daha fazla nem, bitki örtüsünün büyümesini de teşvik eder.",1
"prone to","Eğilimli, yatkın","adj","🎢",1,"Predisposed to; susceptible to; inclined to","Modadil 1080; Modadil Yapılar; Çıkmış sorular",2,"2023-2; 2025-2",7,"People of African descent are more prone to autoimmune diseases.","Afrika kökenli insanlar, otoimmün hastalıklara daha yatkındır.",1
"proper","Uygun, münasip, düzgün","adj","✔️",0,"Good; correct; appropriate; suitable","Modadil 1080",0,"",7,"They claim gravity does not play any role in the proper functioning of the human body.","Yerçekiminin insan vücudunun düzgün çalışmasında herhangi bir rol oynamadığını iddia ediyorlar.",1
"requirement","Gereksinim, ihtiyaç, zorunluluk","n","📋",0,"Obligation; condition; prerequisite; necessity","Modadil 1080; Zafer Hoca",0,"",7,"The acoustic systems developed did not meet the requirements of the US military.","Geliştirilen akustik sistemler ABD ordusunun gereksinimlerini karşılamadı.",1
"severe","Şiddetli, sert","adj","🌪️",1,"Harsh; strict; acute","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",1,"2022-2",7,"Severe climatic conditions could have an adverse impact on the Anatolian wild sheep population","Sert iklim koşullarının, Anadolu yaban koyun popülasyonu üzerinde olumsuz etkileri olabilir.",1
"support","Destek, desteklemek","v","🤝",1,"Provide; back up","Modadil 1080; Çıkmış sorular",2,"2018-1; 2024-1",7,"Brazil’s politicians tend to support the expansion of Amazonia’s development.","Brezilya siyasileri Amazonia'nın gelişimini destekleme eğilimindedir.",1
"trait","Özellik, nitelik","n","🧬",1,"Characteristic; feature; quality","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2021-2; 2022-2; 2025-1",7,"A good sense of smell might not seem to be a desirable trait like sharp eyesight.","İyi bir koku duyusu keskin görme gibi istenen bir özellik olarak görünmeyebilir.",1
"wreck","Enkaz, harabe, kaza","n","💥",0,"Crash; collision; accident","Modadil 1080; Çıkmış sorular; Zafer Hoca",1,"2022-1",7,"Fishermen found the Belitung wreck nearly 20 years ago.","Balıkçılar, Belitung enkazını yaklaşık 20 yıl önce buldu.",1
"accurately","Tam olarak, doğru olarak","adv","🎯",1,"Precisely; exactly; correctly; truthfully","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",3,"2021-2; 2023-2; 2025-1",8,"More powerful processors are demanded all the time in order to more accurately read seismic data","Sismik verileri daha doğru biçimde okumak için her zaman daha güçlü işlemciler talep edilmektedir.",1
"acquire","Edinmek, elde etmek, kazanmak","v","🛒",1,"Obtain; get hold of; gain","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2022-2; 2025-1",8,"The Higgs explains how particles acquired mass.","Higgs, parçacıkların nasıl kütle elde ettiğini açıklıyor.",1
"alter","Değiştirmek","v","✂️",1,"Change; modify; amend","Modadil 1080; Çıkmış sorular; Koç havuzu",6,"2021-2; 2022-1; 2022-2; 2023-2; 2024-1; 2025-1",8,"The Newtonian laws have completely altered man’s perception of the universe.","Newton kanunları insanın evren algısını tamamen değiştirdi.",1
"application","Uygulama, tatbik","n","📲",1,"Use; function","Modadil 1080; Çıkmış sorular; Zafer Hoca",5,"2021-1; 2022-1; 2024-1; 2024-2; 2025-1",8,"A gas can be squeezed into a smaller volume by the application of pressure.","Bir gaz, basınç uygulayarak daha küçük bir hacme sıkıştırılabilir.",1
"biodiversity","Biyolojik çeşitlilik","n","🐾",0,"Range of organisms in environment","Modadil 1080; Koç havuzu",0,"",8,"The loss of amphibian species contributes to the world’s biodiversity crisis.","Amfibi türlerin yok oluşu, dünyanın biyoçeşitlilik krizine sebep oluyor.",1
