ID,WordName,VocabularyItem,TurkishDefinition,Synonym,ExampleSentence1,Translation1,GrupNo,Antonym,PartofSpeech,Favorite
115,PARTIALLY (adv),PARTIALLY (adv),"Kısmen, bir dereceye kadar","To some extent, somewhat",Some variations may be partially explained by genetics.,Bazı varyasyonlar kısmen genetik ile açıklanabilir.,6,-,-,0
116,POLLUTION (n),POLLUTION (n), Kirlilik,"Contamination, toxic waste",Sulphur pollution costs China nearly 45 billion dollars each year.,"Kükürt kirliliği, Çin'e her yıl yaklaşık 45 milyar dolara mal oluyor.",6,-,-,0
117,PRECIPITATION (n),PRECIPITATION (n),Yağış,Rainfall,Cloud seeding is a technique which attempts to make precipitation by dispersing silver iodide particles into clouds.,"Bulut tohumlama, gümüş iyodür parçacıklarını bulutlara dağıtırarak yağış elde etmeye çalışan bir tekniktir.",6,-,-,0
118,REGULATE (v),REGULATE (v),"Düzenlemek, ayarlamak","Control, adjust, set",Clouds are also very important in regulating the climate.,"Bulutlar, iklimin düzenlenmesinde de çok önemlidir.",6,-,-,0
119,SOLELY (adv),SOLELY (adv),"Sadece, yalnızca","Exclusively, only, merely, just",Scientists' intention was solely to harvest embryonic stem cells.,Bilim adamlarının niyeti sadece embriyonik kök hücreleri elde etmekti.,6,-,-,0
120,TASK (n),TASK (n),"Görev, vazife, iş","Duty, mission, assignment, job",Robots will never be much good at household tasks such as pouring coffee.,Robotlar kahve doldurmak gibi ev işlerinde asla iyi olmayacaktır.,6,-,-,0
121,ADEQUATE (adj),ADEQUATE (adj),"Yeterli, kafi","Sufficient, enough",Spores contain an adequate food supply within their single cell.,Sporlar tek hücrelerinde yeterli besin kaynağı içerirler.,7,-,-,0
122,ALIGNMENT (n),ALIGNMENT (n),"Hizalama, ayar, sıra","Arrangement, position, placement",The beam can nudge atoms out of alignment and alter the material's form.,"Işın, atomların hizalamasını bozup malzemenin şeklini değiştirebilir.",7,-,-,0
123,ATTEMPT (v/n),ATTEMPT (v/n),"Teşebbüs etmek, çabalamak, çalışmak, girişim","Try to, aspire to, endeavor to, aim to",Scientists attempt to find ways of making a zero-emission fuel out of the natural gas.,Bilim insanları doğal gazdan sıfır emisyonlu bir yakıt üretmenin yollarını bulmaya çalışıyorlar.,7,-,-,0
124,CONCERNED (adj),CONCERNED (adj),"Kaygılı, endişeli","Worried, afraid, disturbed",Many people are concerned about nuclear weapons and chemical waste.,Pekçok insan nükleer silahlar ve kimyasal atıklardan endişe duyuyor.,7,-,-,0
125,CONSEQUENCE (n),CONSEQUENCE (n),"Sonuç, netice","Result, outcome",Biodiversity is lost as a consequence of habitat destruction.,Yaşam alanlarının tahribatının bir sonucu olarak biyoçeşitlilik kaybolmaktadır.,7,-,-,0
126,CONSTRUCTIVE (adj),CONSTRUCTIVE (adj),"Yapıcı, olumlu, yardımcı","Positive, helpful, productive, useful, beneficial",Gamma rays emitted by nuclear materials can be used for constructive purposes.,Nükleer malzemeler tarafından yayılan gama ışınları yapıcı amaçlar için kullanılabilir.,7,-,-,0
127,CRUCIAL (adj),CRUCIAL (adj),"Çok önemli, mühim","Vital, critical, essential, fundamental, important",Preserving genetic variation is crucial for the long-term survival of populations.,"Genetik varyasyonun muhafaza edilmesi, nüfusun uzun vadede hayatta kalması için çok önemlidir.",7,-,-,0
128,DEADLY (adj),DEADLY (adj),"Öldürücü, yok edici","Lethal, fatal",Earthquakes were much less deadly before the 20th century.,Depremler 20. Yüzyıldan önce çok daha az öldürücü idi.,7,-,-,0
129,DETERIORATE (v),DETERIORATE (v),"Kötüleşmek, kötüye gitmek, bozulmak","Get worse, worsen, decline",The absence of gravity causes bones and muscles to deteriorate.,"Yerçekiminin olmaması, kemiklerin ve kasların bozulmasına neden olur.",7,-,-,0
130,FAIL (v),FAIL (v),"Başaramamak, başarısız olmak",Be unsuccessful,His calculations failed through his ignorance of radioactivity.,Onun hesaplamaları radyoaktivite bilgisizliğinden başarısız oldu.,7,-,-,0
131,FLOURISH (v),FLOURISH (v),"İlerlemek, gelişmek","Thrive, grow, increase, prosper",Cancer cells typically flourish by disabling DNA repair.,Kanser hücreleri tipik olarak DNA onarımını devre dışı bırakakarak gelişirler.,7,-,-,0
132,GIVE RISE TO (phr v),GIVE RISE TO (phr v),"Sebep olmak, yol açmak","cause, bring about, lead to",Higher sea-surface temperatures could give rise to more frequent hurricanes.,"Daha yüksek deniz yüzeyi sıcaklıkları, daha sık kasırgalara sebep olabilir.",7,-,-,0
133,PROMOTE (v),PROMOTE (v),"Teşvik etmek, ilerletmek","Encourage, advance, further, raise",More moisture also promotes the growth of vegetation.,"Daha fazla nem, bitki örtüsünün büyümesini de teşvik eder.",7,-,-,0
134,PRONE to (adj),PRONE to (adj),"Eğilimli, yatkın","Predisposed to, susceptible to, inclined to",People of African descent are more prone to autoimmune diseases.,"Afrika kökenli insanlar, otoimmün hastalıklara daha yatkındır.",7,-,-,0
135,PROPER (adj),PROPER (adj),"Uygun, münasip, düzgün","Good, correct, appropriate, suitable",They claim gravity does not play any role in the proper functioning of the human body.,Yerçekiminin insan vücudunun düzgün çalışmasında herhangi bir rol oynamadığını iddia ediyorlar.,7,-,-,0
136,REQUIREMENT (n),REQUIREMENT (n),"Gereksinim, ihtiyaç, zorunluluk","Obligation, condition, prerequisite, necessity",The acoustic systems developed did not meet the requirements of the US military.,Geliştirilen akustik sistemler ABD ordusunun gereksinimlerini karşılamadı.,7,-,-,0
137,SEVERE (adj),SEVERE (adj),"Şiddetli, sert","Harsh, strict, acute",Severe climatic conditions could have an adverse impact on the Anatolian wild sheep population,"Sert iklim koşullarının, Anadolu yaban koyun popülasyonu üzerinde olumsuz etkileri olabilir.",7,-,-,0
138,SUPPORT (n/v),SUPPORT (n/v),"Destek, desteklemek","Provide, back up",Brazil’s politicians tend to support the expansion of Amazonia’s development.,Brezilya siyasileri Amazonia'nın gelişimini destekleme eğilimindedir.,7,-,-,0
139,TRAIT (n),TRAIT (n),"Özellik, nitelik","Characteristic, feature, quality",A good sense of smell might not seem to be a desirable trait like sharp eyesight.,İyi bir koku duyusu keskin görme gibi istenen bir özellik olarak görünmeyebilir.,7,-,-,0
140,WRECK (n),WRECK (n),"Enkaz, harabe, kaza","Crash, collision, accident",Fishermen found the Belitung wreck nearly 20 years ago.,"Balıkçılar, Belitung enkazını yaklaşık 20 yıl önce buldu.",7,-,-,0
141,ACCURATELY (adv),ACCURATELY (adv),"Tam olarak, doğru olarak","Precisely, exactly, correctly, truthfully",More powerful processors are demanded all the time in order to more accurately read seismic data,Sismik verileri daha doğru biçimde okumak için her zaman daha güçlü işlemciler talep edilmektedir.,8,-,-,0
142,ACQUIRE (v),ACQUIRE (v),"Edinmek, elde etmek, kazanmak","Obtain, get hold of, gain",The Higgs explains how particles acquired mass.,"Higgs, parçacıkların nasıl kütle elde ettiğini açıklıyor.",8,-,-,0
143,ALTER (v),ALTER (v),Değiştirmek,"Change, modify, amend",The Newtonian laws have completely altered man’s perception of the universe.,Newton kanunları insanın evren algısını tamamen değiştirdi.,8,-,-,0
144,APPLICATION (n),APPLICATION (n),"Uygulama, tatbik","Use, function",A gas can be squeezed into a smaller volume by the application of pressure.,"Bir gaz, basınç uygulayarak daha küçük bir hacme sıkıştırılabilir.",8,-,-,0
145,BIODIVERSITY (n),BIODIVERSITY (n),Biyolojik çeşitlilik,Range of organisms in environment,The loss of amphibian species contributes to the world’s biodiversity crisis.,"Amfibi türlerin yok oluşu, dünyanın biyoçeşitlilik krizine sebep oluyor.",8,-,-,0
146,COMPONENT (n),COMPONENT (n),"Parça, bileşen","Constituent, module, section, part",A diode is a semiconductor component consisting of two layers of materials.,"Bir diyot, iki malzeme katmanından oluşan bir yarı iletken bileşendir.",8,-,-,0
147,DISAPPEAR (v),DISAPPEAR (v),"Yok olmak, kaybolmak","Vanish, die out",Stem cells in the hypothalamus disappear as people grow older.,İnsanlar yaşlandıkça hipotalamustaki kök hücreler yok olur.,8,-,-,0
148,DROUGHT (n),DROUGHT (n), Kuraklık,Lack of rain,Africa's deserts are expanding owing to cycles of drought.,Kuraklık döngüsü nedeniyle Afrika'nın çölleri genişliyor.,8,-,-,0
149,EMIT (v),EMIT (v),"Yaymak, yollamak","Release, give off, send out","Nuclear materials contain isotopes, which emit x-rays and gamma rays.","Nükleer materyaller, x ışınları ve gama ışınları yayan izotoplar içerir.",8,-,-,0
150,ESSENTIAL (adj),ESSENTIAL (adj),"Zaruri, zorunlu, elzem","Vital, indispensable, important, crucial",Green plants are essential for numerous insects.,Yeşil bitkiler çok sayıda böcek için zaruridir.,8,-,-,0
151,FACILITATE (v),FACILITATE (v),"Kolaylaştırmak, olanak sağlamak, rahatlatmak","Make easy, ease, make possible, enable, simplify",The genes encode proteins that facilitate virus entry into human cells.,"Genler, virüsün insan hücrelerine girmesini kolaylaştıran proteinleri kodlar.",8,-,-,0
152,GRADUALLY (adv),GRADUALLY (adv),"Yavaş, yavaş, gitgide","Bit by bit, slowly, progressively",Programmers gradually adopted GPUs for applications,Programcılar gitgide uygulamalar için GPU'ları benimsediler.,8,-,-,0
153,HIGHLIGHT (v),HIGHLIGHT (v),"Vurgulamak, altını çizmek, dikkati çekmek","Emphasize, draw attention to, underline, stress",The study highlights the complex links between agriculture and disease.,"Araştırma, tarım ile hastalıklar arasındaki karmaşık ilişkiye dikkati çekiyor.",8,-,-,0
154,IGNITION (n),IGNITION (n),"Ateşleme, başlatma, tutuşturma","Explosion, discharge, start",Electronic ignition came out in the early 70's,Elektronik ateşleme 70'li yılların başında ortaya çıktı.,8,-,-,0
155,IMPLEMENT (v),IMPLEMENT (v),"Uygulamak, ifa etmek, yapmak","Perform, carry out, apply",We've implemented a number of changes to improve the robot.,Robotu geliştirmek için bir dizi değişiklikler yaptık.,8,-,-,0
156,INCIDENCE (n),INCIDENCE (n),"Olay, vaka, görülme sıklığı","Event, occurrence, occasion",The increasing incidence of abnormal eating habits is causing concern.,Anormal yeme alışkanlıklarının artan görülme sıklığı endişeye sebep oluyor.,8,-,-,0
157,INCONSISTENT (adj),INCONSISTENT (adj),"İstikrarsız, tutarsız","Conflicting, contradictory, incompatible",Previous research's data is inconsistent with these consequenses.,"Önceki araştırma verileri, bu sonuçlarla tutarsızdır.",8,-,-,0
158,MODERATE (adj),MODERATE (adj),"Makul, ılımlı, ölçülü, orta seviye","Reasonable, modest, medium, normal",A magnitude 5.8 earthquake is considered moderate.,5.8 şiddetinde bir deprem orta seviye kabul edilir.,8,-,-,0
159,RAPID (adj),RAPID (adj),"Hızlı, ani, çabuk","Fast, quick, speedy, swift",A rapid increase in cases of HIV was observed in southern Africa.,Güney Afrika'da HIV vakalarında hızlı bir artış gözlemlendi.,8,-,-,0
160,RELEASE (v),RELEASE (v),"Yayılmak, salınmak","Let out, free, emit, give off",Copious bursts of neutrinos are released along with x-ray and gamma radiation.,"Çoklu nötrin patlaması, x-ışınları ve gama ışınlarıyla birlikte yayılır.",8,-,-,0
161,AID (n/v),AID (n/v),"Destek vermek, yardım etmek, yardım","Help, assist, support",Engineers now can design computer hardware and software and other complex systems with the aid of Boolean algebra,Mühendisler şimdilerde Boolean cebri yardımıyla bilgisayar donanımı ve yazılımı ile diğer karmaşık sistemleri tasarlayabiliyorlar.,9,-,-,0
162,CEASE (v),CEASE (v),"Son vermek, durdurmak, sonlandırmak","Stop, finish, end, come to an end",Mount Etna is a dying volcano which will someday cease to erupt.,"Etna Dağı, bir gün patlamayı sonlandıracak, ölmekte olan bir yanardağdır.",9,-,-,0
163,COMPRISE (v),COMPRISE (v),"Kapsamak, oluşmak, içermek","Consist of, be made up of, be composed of, include, contain",Stem cells comprise only a small fraction of a cell population.,Kök hücreler bir hücre popülasyonunun yalnızca küçük bir kısmını oluştururlar.,9,-,-,0
164,CUT DOWN ON (phr v),CUT DOWN ON (phr v),"Azaltmak, kısmak","Reduce, decrease, lower",We need to cut down on the use of fossil energies and create new sources of renewable energy.,Fosil enerjilerin kullanımını azaltmamız ve yenilenebilir enerji kaynakları yaratmamız gerekiyor.,9,-,-,0
165,DAMAGE (v/n),DAMAGE (v/n),"Zarar vermek, hasara uğratmak, hasar, zarar","Injure, harm, spoil, hurt",Giuseppe Mercalli created a scale to categorize earthquakes based on the level of damage incurred.,"Giuseppe Mercalli, meydana gelen hasarın seviyesine dayalı olarak depremleri sınıflandırmak için bir ölçek yaptı",9,-,-,0
166,DEBATE (n),DEBATE (n),"Tartışma, münakaşa","Discussion, argument, dispute",Debate has been raging among the experts over how risky radon really is.,Radonun gerçekten ne kadar tehlikeli olduğu konusunda uzmanlar arasındaki tartışma şiddetleniyor.,9,-,-,0
167,DISCOVER (v),DISCOVER (v),"Bulmak, keşfetmek","Find, determine, notice, realize",Water engineers have discovered new water resources in the southwestern US,Su mühendisleri güneybatı ABD'de yeni su kaynakları keşfetti.,9,-,-,0
168,DISRUPT (v),DISRUPT (v),"Aksatmak, bozmak, sekteye uğratmak","Disturb, interrupt, distort, damage",Underwater turbines disrupt the migration of fish in coastal water.,Sualtı türbinleri kıyı sularındaki balık göçünü sekteye uğratmaktadır.,9,-,-,0
169,ENTIRELY (adv),ENTIRELY (adv),"Tamamen, bütünüyle","Completely, totally, wholly, utterly",Martian rocks and sands are composed of almost entirely of volcanic minerals.,Mars kayaları ve kumları neredeyse tamamen volkanik minerallerden oluşur.,9,-,-,0
170,EXIST (v),EXIST (v),"Var olmak, hayatta olmak, yaşamak","Survive, live",Certain species of bees and ants exist as colonies made up of several different individuals,Arıların ve karıncaların bazı türleri birkaç farklı bireyden oluşan koloniler olarak yaşar.,9,-,-,0
171,FAULTY (adj),FAULTY (adj),"Arızalı, kusurlu","Out of order, defective, broken-down",The Stallite project has been proved faulty after several trials.,"Birkaç denemeden sonra, uydu projesinin hatalı olduğu kanıtlandı.",9,-,-,0
172,INCREDIBLE (adj),INCREDIBLE (adj),"İnanılmaz, akıl almaz","Unbelievable, implausible",Mercury planet is exposed to intense radiation and incredible heat.,Merkür gezegeni yoğun radyasyona ve inanılmaz sıcağa maruz kalır.,9,-,-,0
173,INDEFINITELY (adv),INDEFINITELY (adv),"Süresiz olarak, belirsiz olarak","Until further notice, forever, eternally",SpaceX’s next flight is postponed indefinitely,SpaceX'in sonraki uçuşu süresiz ertelendi.,9,-,-,0
174,LUNAR (adj),LUNAR (adj),Ay ile ilgili, Relating to moon,The entire future of human space exploration rests on a patch of lunar ice.,İnsan uzay araştırmalarının tüm geleceği ufak bir parça ay buzuna dayanıyor.,9,-,-,0
175,MELT (v),MELT (v),Eri(t)mek,"Thaw, dissolve",Gold-silver alloys can be melted at low temperatures.,Altın-gümüş alaşımları düşük sıcaklıklarda eritilebilir.,9,-,-,0
176,NEGLECT (v),NEGLECT (v),"İhmal etmek, savsaklamak","Ignore, overlook, disregard",Whole areas of rainforest in a neglected part of Southeast Asia were devastated.,Güneydoğu Asya'nın ihmal edilen bir bölümünde yağmur ormanlarının tüm alanları tahrip edildi.,9,-,-,0
